Pos.;;Driver;;;Team;AUT;STY;HUN;GBR;70A;ESP;BEL;ITA;TUS;RUS;EIF;POR;EMI;TUR;BHR;SKH;ABU;Points
;;;;;;Austria;Austria;Hungary;United Kingdom;United Kingdom;Spain;Belgium;Italy;Italy;Russia;Germany;Portugal;Italy;Turkey;Bahrain;Bahrain;United Arab Emirates;
;;;;;;Austria;Austria;Hungary;United Kingdom;United Kingdom;Spain;Belgium;Italy;Italy;Russia;Germany;Portugal;Italy;Turkey;Bahrain;Bahrain;United Arab Emirates;
;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;United Kingdom;Lewis Hamilton;Merceres;MER;Germany;4;1P;1PF;1P;2F;1P;1P;7PF;1PF;3P;1;1PF;1F;1;1P;;3;347
2;Finland;Valtteri Bottas;Merceres;MER;Germany;1P;2;3;11;3P;3F;2;5;2;1F;RetP;2;2P;14;8;8P;2;223
3;Netherlands;Max Verstappen;RedBull Racing;RBR;Austria;Ret;3;2;2F;1;2;3;Ret;Ret;2;2F;3;Ret;6;2F;Ret;1P;214
4;Mexico;Sergio Perez;Racing Point;RPT;United Kingdom;6;6;7;WD;;5;10;10;5;4;4;7;6;2;18dagger;1;Ret;125
5;Australia;Daniel Ricciardo;Renault;REN;France;Ret;8;8;4;14;11;4F;6;4;5;3;9;3;10;7;5;7F;119
6;Spain;Carlos Sainz Jr.;Mclaren;MCL;United Kingdom;5;9F;9;13;13;6;DNS;2;Ret;Ret;5;6;7;5;5;4;6;105
7;Thailand;Alexander Albon;RedBull Racing;RBR;Austria;13dagger;4;5;8;5;8;6;15;3;10;Ret;12;15;7;3;6;4;105
8;Monaco;Charles Leclerc;Ferrari;FER;Italy;2;Ret;11;3;4;Ret;14;Ret;8;6;7;4;5;4;10;Ret;13;98
9;United Kingdom;Lando Norris;Mclaren;MCL;United Kingdom;3F;5;13;5;9;10;7;4;6;15;Ret;13;8;8F;4;10;5;97
10;France;Pierre Gasly;Alpha Tauri;ALT;Italy;7;15;Ret;7;11;9;8;1;Ret;9;6;5;Ret;13;6;11;8;75
11;Canada;Lance Stroll;Racing Point;RPT;United Kingdom;Ret;7;4;9;6;4;9;3;Ret;Ret;WD;Ret;13;9P;Ret;3;10;75
12;France;Esteban Ocon;Renault;REN;France;8;Ret;14;6;8;13;5;8;Ret;7;Ret;8;Ret;11;9;2;9;62
13;Germany;Sebastian Vettel;Ferrari;FER;Italy;10;Ret;6;10;12;7;13;Ret;10;13;11;10;12;3;13;12;14;33
14;Russia;Daniil Kvyat;Alpha Tauri;ALT;Italy;12dagger;10;12;Ret;10;12;11;9;7;8;15;19;4;12;11;7;11;32
15;Germany;Nico Hulkenberg;Racing Point;RPT;United Kingdom;;;;DNS;7;;;;;;8;;;;;;;10
16;Finland;Kimi Raikkonen;Alfa Romeo;ALR;Switzerland;Ret;11;15;17;15;14;12;13;9;14;12;11;9;15;15;14;12;4
17;Italy;Antonio Giovinazzi;Alfa Romeo;ALR;Switzerland;9;14;17;14;17;16;Ret;16;Ret;11;10;15;10;Ret;16;13;16;4
18;United Kingdom;George Russell;Williams;WIL;United Kingdom;Ret;16;18;12;18;17;Ret;14;11;18;Ret;14;Ret;16;12;;15;0
19;France;Romain Grosjean;Hass;HAS;United Kingdom;Ret;13;16;16;16;19;15;12;12;17;9;17;14;Ret;Ret;;;2
20;Denmark;Kevin Magnussen;Hass;HAS;United Kingdom;Ret;12;10;Ret;Ret;15;17;Ret;Ret;12;13;16;Ret;17dagger;17;15;18;1
21;Canada;Nicholas Latifi;Williams;WIL;United Kingdom;11;17;19;15;19;18;16;11;Ret;16;14;18;11;Ret;14;Ret;17;0
22;United Kingdom;Jack Aitken;Williams;WIL;United Kingdom;;;;;;;;;;;;;;;;16;;0
23;Brazil;Pietro Fittipaldi;Hass;HAS;United Kingdom;;;;;;;;;;;;;;;;17;19;0
24;United Kingdom;George Russell;Williams;MER;Germany;;;;;;;;;;;;;;;;9F;;3
